car,dog,count
Volkswagen Tiguan,Poodle,1
Volkswagen Tiguan,Chihuahua,4
Hyundai Genesis,Pitbull,3
Hyundai Genesis,Chihuahua,2
Hyundai Genesis,Italian Greyhound,1
Hyundai Genesis,Alaskan Malamute,2
Hyundai Genesis,Siberian Husky,2
Hyundai Genesis,Poodle,1
Hyundai Genesis,Cockapoo,1
Hyundai Genesis,Pug,2
Hyundai Genesis,Bloodhound,1
Toyota Mirai,Rescue Dog,2
Toyota Mirai,Pug,1
Toyota Mirai,Samoyed,1
Toyota Mirai,Newfoundland,1
Toyota Mirai,Catahoula Leopard Dog,1
Toyota Mirai,Beagle,1
BMW i3,Dachshund,1
Buick LaCrosse,Pug,1
Buick LaCrosse,Beagle,1
Buick LaCrosse,Dachshund,2
Buick LaCrosse,American Bulldog,2
Buick LaCrosse,Great Pyrenees,1
Buick LaCrosse,Newfoundland,9
Buick LaCrosse,Siberian Husky,4
Buick LaCrosse,Pitbull,20
Buick LaCrosse,Great Dane,4
Lexus RC,Poodle,1
Lexus RC,Pitbull,1
Lexus RC,Rescue Dog,1
Mitsubishi Mirage,Italian Greyhound,1
Alfa Romeo Giulia,Pitbull,15
Alfa Romeo Giulia,Rhodesian Ridgeback,1
Alfa Romeo Giulia,American Bulldog,2
Alfa Romeo Giulia,Pug,1
Alfa Romeo Giulia,Bullmastiff,1
Alfa Romeo Giulia,Labrador Retriever,1
Alfa Romeo Giulia,Chihuahua,1
Alfa Romeo Giulia,Siberian Husky,2
Alfa Romeo Giulia,Shih Tzu,1
Kia Sportage,Siberian Husky,1
Kia Sportage,Pug,2
Kia Sportage,Newfoundland,5
Kia Sportage,Labrador Retriever,4
Kia Sportage,Golden Retriever,1
Chevrolet Traverse,Chihuahua,21
Chevrolet Traverse,Giant Schnauzer,1
Chevrolet Traverse,Siberian Husky,1
Chevrolet Traverse,American Bulldog,2
Ford Explorer,Pitbull,2
Ford Explorer,Italian Greyhound,1
Ford Explorer,Newfoundland,13
Ford Explorer,Maltese,1
Ford Explorer,Siberian Husky,6
Ford Explorer,Welsh Corgi,2
Nissan Altima,Bloodhound,1
Nissan Altima,Beagle,1
Chevrolet Impala,Poodle,2
Chevrolet Impala,American Bulldog,4
Chevrolet Impala,Pitbull,7
Chevrolet Impala,Pug,10
Chevrolet Impala,Chihuahua,4
Chevrolet Impala,Siberian Husky,2
Chevrolet Impala,Jack Russell Terrier,1
Chevrolet Impala,Labrador Retriever,1
Chevrolet Impala,Rottweiler,1
Tesla Model 3,Pug,68
Tesla Model 3,German Shepherd Dog,3
Tesla Model 3,Rescue Dog,1
Tesla Model 3,Welsh Corgi,1
Tesla Model 3,American Bulldog,1
Tesla Model 3,Samoyed,1
Kia Stinger,Bloodhound,1
Kia Stinger,Siberian Husky,1
Kia Stinger,Maltese,1
Kia Stinger,Welsh Corgi,1
Mercedes-Benz S-Class,German Shepherd Dog,2
Mercedes-Benz S-Class,Pug,1
Ford Expedition,Rottweiler,1
Ford Expedition,Labrador Retriever,1
Ford Expedition,Great Dane,1
Ford Expedition,Bullmastiff,1
Ford Expedition,Rescue Dog,2
Ford Expedition,Alaskan Malamute,41
BMW X1,American Bulldog,1
Honda Odyssey,Italian Greyhound,4
Honda Odyssey,Border Collie,2
Honda Odyssey,Bullmastiff,1
Honda Odyssey,Chihuahua,2
Honda Odyssey,Pitbull,2
Honda Odyssey,Pointer,1
Subaru Outback,Pug,3
Subaru Outback,American Bulldog,1
Subaru Outback,Maltese,1
Subaru Outback,Dachshund,1
Subaru Outback,Pitbull,1
Chevrolet Spark,Dachshund,1
Chevrolet Spark,Akita,2
Chevrolet Spark,Welsh Corgi,1
Chevrolet Spark,Chihuahua,1
Chevrolet Spark,American Bulldog,4
Chevrolet Spark,Rescue Dog,2
Chevrolet Spark,German Shepherd Dog,1
Chevrolet Spark,Border Collie,1
Volkswagen Touareg,Dachshund,3
Infiniti Q70,Pug,27
Hyundai Santa Fe,Chihuahua,1
Hyundai Santa Fe,Labradoodle,2
Hyundai Santa Fe,Pug,1
Hyundai Santa Fe,Bloodhound,1
Chevrolet Colorado,Poodle,2
Chevrolet Colorado,German Shepherd Dog,1
Chevrolet Colorado,Newfoundland,1
Chevrolet Colorado,Golden Retriever,2
Chevrolet Colorado,Chinese Shar-Pei,1
Chevrolet Colorado,Maltese,1
Chevrolet Colorado,Pitbull,2
Chevrolet Colorado,Chihuahua,1
Chevrolet Colorado,Italian Greyhound,2
Chevrolet Colorado,Rescue Dog,1
Chevrolet Colorado,Siberian Husky,1
Chevrolet Colorado,Rottweiler,1
Ford Focus,Golden Retriever,1
Ford Focus,Pomeranian,44
Ford Focus,Labrador Retriever,27
Ford Focus,Pug,6
Ford Focus,Chihuahua,2
Ford Focus,Rottweiler,1
Ford Focus,Bloodhound,1
Ford Focus,Siberian Husky,2
Ford Focus,Rescue Dog,1
GMC Yukon XL,Jack Russell Terrier,1
GMC Yukon XL,Siberian Husky,1
Jeep Cherokee,Poodle,2
Jeep Cherokee,Siberian Husky,1
Jeep Cherokee,Rottweiler,1
Jeep Cherokee,Maltese,1
Jeep Cherokee,Chihuahua,1
Jeep Cherokee,Dachshund,1
Jeep Cherokee,Pointer,1
Jeep Cherokee,American Bulldog,3
Jeep Cherokee,Mutt,1
Jeep Cherokee,Shih Tzu,1
Jeep Cherokee,Boston Terrier,2
Ford Flex,Bloodhound,2
BMW 3-Series,Labrador Retriever,1
BMW 3-Series,Akita,1
BMW 3-Series,Pug,3
Lexus CT,Pitbull,1
Nissan Versa,Siberian Husky,10
Nissan Versa,Chihuahua,23
Nissan Versa,Pitbull,3
Nissan Versa,Rescue Dog,1
Maserati Levante,Rottweiler,1
Maserati Levante,Poodle,1
Maserati Levante,Labradoodle,1
Maserati Levante,Dachshund,1
Maserati Levante,Chihuahua,1
Maserati Levante,Pitbull,1
Maserati Levante,Maltese,1
Kia Sedona,Pug,3
Kia Sedona,Newfoundland,1
Kia Sedona,Pomeranian,1
Kia Sedona,German Shepherd Dog,1
Kia Sedona,Chihuahua,1
GMC Yukon,Chihuahua,6
GMC Yukon,Pitbull,6
GMC Yukon,Italian Greyhound,18
GMC Yukon,Golden Retriever,2
GMC Yukon,Samoyed,4
GMC Yukon,Siberian Husky,7
GMC Yukon,Beagle,6
GMC Yukon,Poodle,1
GMC Yukon,Catahoula Leopard Dog,1
GMC Yukon,Newfoundland,3
GMC Yukon,Rescue Dog,3
GMC Yukon,Pug,3
GMC Yukon,American Bulldog,1
GMC Yukon,Bichon Frise,1
GMC Yukon,Goldendoodle,1
GMC Yukon,Great Pyrenees,15
GMC Yukon,Alaskan Malamute,2
GMC Yukon,Welsh Corgi,1
GMC Yukon,Labradoodle,1
GMC Yukon,Giant Schnauzer,1
GMC Yukon,Pomeranian,1
GMC Yukon,Bullmastiff,1
Ford Escape,Jack Russell Terrier,1
Ford Escape,German Shepherd Dog,1
Ford Escape,Rescue Dog,1
Ford Escape,Golden Retriever,2
Ford Escape,Siberian Husky,1
Ford Escape,Italian Greyhound,1
Ford Escape,Lhasa Apso,1
Ford Escape,Samoyed,1
Ford Escape,Pug,2
Ford Escape,Boston Terrier,7
Ford Escape,American Bulldog,3
Tesla Model S,Jack Russell Terrier,1
Tesla Model S,Pug,1
Nissan Armada,Pitbull,3
Nissan Armada,Boston Terrier,1
Honda Ridgeline,Golden Retriever,17
Honda Ridgeline,American Bulldog,1
Honda Ridgeline,Pug,4
Honda Ridgeline,Boston Terrier,38
Toyota Yaris,Chihuahua,1
Mazda 5,Rescue Dog,1
Mazda 5,Pointer,1
Volkswagen Golf,American Bulldog,2
Bentley Continental GT,Newfoundland,1
Bentley Continental GT,Bloodhound,1
Bentley Continental GT,American Bulldog,3
Bentley Continental GT,Rottweiler,1
Bentley Continental GT,Golden Retriever,2
Bentley Continental GT,Dachshund,3
Bentley Continental GT,Beagle,1
BMW 6-Series,Golden Retriever,3
BMW 6-Series,Dachshund,1
BMW 6-Series,German Shepherd Dog,2
BMW 6-Series,Chihuahua,1
BMW 6-Series,Pug,2
BMW 6-Series,Boston Terrier,1
BMW 6-Series,Jack Russell Terrier,1
BMW 6-Series,Siberian Husky,1
Nissan Quest,Chihuahua,1
Nissan Quest,Cocker Spaniel,1
Nissan Quest,Pitbull,1
Nissan Quest,Siberian Husky,1
Nissan Quest,Golden Retriever,1
Nissan Quest,Rescue Dog,1
Honda Civic,Shih Tzu,1
Honda Civic,German Shepherd Dog,1
Honda Civic,Border Collie,3
Honda Civic,Dachshund,1
Honda Civic,Bullmastiff,1
Honda Civic,Chihuahua,2
Honda Civic,Pitbull,2
Honda Civic,Pointer,1
Honda Civic,Bichon Frise,1
Kia Soul,Chihuahua,2
Subaru Forester,Siberian Husky,1
Subaru Forester,Giant Schnauzer,1
Subaru Forester,Italian Greyhound,7
Mazda CX-5,Chihuahua,2
Mazda CX-5,Pug,1
Mazda CX-5,Border Collie,1
BMW 7-Series,Pitbull,4
BMW 7-Series,Pug,1
BMW 7-Series,Chihuahua,1
Dodge Viper,Beagle,1
Dodge Viper,Jack Russell Terrier,1
Dodge Viper,Border Collie,1
Dodge Viper,Italian Greyhound,1
Dodge Viper,Pitbull,1
Dodge Viper,Boston Terrier,2
Dodge Viper,American Bulldog,1
Dodge Viper,Miniature Pinscher,2
Dodge Viper,Golden Retriever,1
Dodge Viper,Rescue Dog,1
Chevrolet Suburban,Cocker Spaniel,2
Chevrolet Suburban,Beagle,1
Chevrolet Suburban,English Springer Spaniel,1
Chevrolet Suburban,Italian Greyhound,4
Chevrolet Suburban,Chow Chow,1
Chevrolet Suburban,Siberian Husky,8
Chevrolet Suburban,Chihuahua,4
Chevrolet Suburban,Dachshund,4
Chevrolet Suburban,Labrador Retriever,1
Chevrolet Suburban,Bichon Frise,1
Chevrolet Suburban,Alaskan Malamute,1
Chevrolet Suburban,Miniature Pinscher,2
Chevrolet Suburban,Border Collie,2
Chevrolet Suburban,Rescue Dog,9
Chevrolet Suburban,Pomeranian,1
Chevrolet Suburban,Mutt,1
Chevrolet Suburban,Golden Retriever,1
Chevrolet Suburban,German Shepherd Dog,2
Chevrolet Suburban,Bullmastiff,27
Chevrolet Suburban,American Bulldog,3
Chevrolet Suburban,Pug,3
Toyota Tundra,Siberian Husky,14
Toyota Tundra,Welsh Corgi,3
Toyota Tundra,German Shepherd Dog,9
Toyota Tundra,Pointer,2
Toyota Tundra,Shih Tzu,1
Toyota Tundra,Golden Retriever,1
Toyota Tundra,Border Collie,3
Toyota Tundra,Chihuahua,1
Toyota Tundra,Labrador Retriever,1
Bentley Bentayga,Boston Terrier,136
Bentley Bentayga,Poodle,44
Bentley Bentayga,Border Collie,8
Bentley Bentayga,Jack Russell Terrier,15
Bentley Bentayga,Pitbull,4
Bentley Bentayga,Bloodhound,2
Bentley Bentayga,American Bulldog,4
Bentley Bentayga,Weimaraner,1
Bentley Bentayga,Chihuahua,4
Bentley Bentayga,Siberian Husky,1
Bentley Bentayga,Rescue Dog,1
Bentley Bentayga,Newfoundland,2
Bentley Bentayga,Bernese Mountain Dog,3
Bentley Bentayga,Cocker Spaniel,1
Bentley Bentayga,Bullmastiff,1
Bentley Bentayga,Golden Retriever,1
Bentley Bentayga,Beagle,3
Bentley Bentayga,Labrador Retriever,1
Ford GT,Poodle,1
Ford GT,Pitbull,1
Toyota 4Runner,Great Dane,2
Toyota 4Runner,German Shepherd Dog,1
Toyota 4Runner,Australian Shepherd,1
Toyota 4Runner,Rottweiler,2
Toyota 4Runner,Catahoula Leopard Dog,1
Toyota 4Runner,Bloodhound,1
Lexus GX,Pitbull,1
Lexus GX,Welsh Corgi,2
Lexus GX,Pug,1
Hyundai Azera,Golden Retriever,1
Honda Insight,American Bulldog,2
Honda Insight,Beagle,1
Honda Insight,Labrador Retriever,2
Maserati Quattroporte,Bloodhound,1
Maserati Quattroporte,Pitbull,2
Maserati Quattroporte,Newfoundland,1
Maserati Quattroporte,Dachshund,1
Maserati Quattroporte,Welsh Corgi,3
Maserati Quattroporte,Weimaraner,1
Maserati Quattroporte,German Shepherd Dog,2
Maserati Quattroporte,Samoyed,1
Maserati Quattroporte,Golden Retriever,3
Maserati Quattroporte,Dalmatian,1
Maserati Quattroporte,Siberian Husky,1
Maserati Quattroporte,Alaskan Malamute,1
Ford E-Series,Siberian Husky,3
Ford E-Series,Golden Retriever,1
Ford E-Series,American Bulldog,1
Ford E-Series,Cockapoo,1
Ford E-Series,Akita,2
Ford E-Series,Pitbull,1
Ford E-Series,Pug,5
Ford E-Series,Rescue Dog,2
Ford E-Series,English Springer Spaniel,1
Ford E-Series,German Shepherd Dog,1
Ford E-Series,Poodle,1
Mazda CX-9,Pug,1
Jaguar F-Pace,American Bulldog,14
Jaguar F-Pace,Pitbull,1
Jaguar F-Pace,Italian Greyhound,1
Jaguar F-Pace,Chihuahua,3
Jaguar F-Pace,Bloodhound,1
Jaguar F-Pace,Golden Retriever,2
Jaguar F-Pace,Pug,1
Lincoln MKS,Pomeranian,2
Lincoln MKS,Border Collie,1
Lincoln MKS,Bullmastiff,1
Lincoln MKS,Chihuahua,1
Lincoln MKS,Pitbull,2
Lincoln MKS,Siberian Husky,1
Lincoln MKS,Shih Tzu,1
Lincoln MKS,Lhasa Apso,1
Nissan Frontier,Newfoundland,2
Nissan Frontier,American Bulldog,1
Nissan Frontier,Pug,1
Toyota Tacoma,Australian Shepherd,1
Toyota Tacoma,Boston Terrier,1
Toyota Tacoma,Alaskan Malamute,2
Toyota Tacoma,Chihuahua,2
Toyota Tacoma,Siberian Husky,1
Toyota Tacoma,Pitbull,2
Toyota Tacoma,Newfoundland,1
Toyota Tacoma,American Bulldog,1
Toyota Tacoma,Rescue Dog,1
Toyota Tacoma,German Shepherd Dog,1
Toyota Tacoma,Welsh Corgi,1
Toyota Tacoma,Pomeranian,1
Toyota Tacoma,Pug,1
Jaguar F-Type,German Shepherd Dog,2
Jaguar F-Type,Pitbull,1
Jaguar F-Type,Rescue Dog,1
Jaguar F-Type,Doberman Pinscher,1
Jaguar F-Type,Great Dane,2
Jaguar F-Type,Bloodhound,3
Volkswagen Beetle,Rescue Dog,4
Volkswagen Beetle,Labrador Retriever,11
Volkswagen Beetle,Dalmatian,2
Volkswagen Beetle,Golden Retriever,2
Volkswagen Beetle,Beagle,1
Volkswagen Beetle,Chihuahua,2
Volkswagen Beetle,Pitbull,23
Volkswagen Beetle,Jack Russell Terrier,3
Volkswagen Beetle,American Bulldog,3
Volkswagen Beetle,Cocker Spaniel,1
Volkswagen Beetle,Border Collie,1
Volkswagen Beetle,Dachshund,1
Volkswagen Beetle,Welsh Corgi,1
Volkswagen Beetle,Weimaraner,1
Volkswagen Beetle,Pointer,1
Toyota Camry,American Bulldog,1
Toyota Camry,Labrador Retriever,1
Toyota Camry,Pitbull,2
Toyota Camry,Siberian Husky,1
Chevrolet Corvette,Pug,4
Chevrolet Corvette,Cockapoo,1
Chevrolet Corvette,Whippet,1
Chevrolet Corvette,Pitbull,3
Chevrolet Corvette,Rhodesian Ridgeback,1
Chevrolet Corvette,Basset Hound,1
Chevrolet Corvette,Chihuahua,1
Chevrolet Corvette,American Bulldog,2
Chevrolet Corvette,Italian Greyhound,1
Kia Cadenza,Boston Terrier,14
Kia Cadenza,Beagle,12
Kia Cadenza,American Bulldog,66
Kia Cadenza,Great Dane,1
Kia Cadenza,Shih Tzu,2
Kia Cadenza,Labradoodle,1
Kia Cadenza,Australian Shepherd,1
Kia Cadenza,Italian Greyhound,1
Audi A6,Pitbull,3
Audi A6,American Bulldog,1
Audi A6,Poodle,1
Buick Enclave,Pug,1
Buick Enclave,Chihuahua,1
Buick Enclave,American Bulldog,1
Buick Enclave,Pitbull,1
Mini Cooper,American Bulldog,8
Mini Cooper,Dalmatian,1
Mini Cooper,Chihuahua,3
Mini Cooper,Jack Russell Terrier,39
Mini Cooper,Dachshund,9
Mini Cooper,Rhodesian Ridgeback,1
Mini Cooper,Great Pyrenees,2
Mini Cooper,German Shepherd Dog,1
Mini Cooper,Italian Greyhound,1
Mini Cooper,Whippet,3
Mini Cooper,Mutt,8
Mini Cooper,Maltese,1
Mini Cooper,Rottweiler,3
Mini Cooper,Rescue Dog,4
Land Rover Discovery,Beagle,9
Land Rover Discovery,Welsh Corgi,1
Land Rover Discovery,Jack Russell Terrier,5
Land Rover Discovery,Flat-Coated Retriever,2
Land Rover Discovery,American Bulldog,1
Land Rover Discovery,Doberman Pinscher,1
Land Rover Discovery,Golden Retriever,6
Land Rover Discovery,Italian Greyhound,1
Land Rover Discovery,Newfoundland,3
Land Rover Discovery,German Shepherd Dog,5
Land Rover Discovery,Siberian Husky,5
Land Rover Discovery,Rescue Dog,1
Land Rover Discovery,Giant Schnauzer,1
Alfa Romeo Stelvio,Pug,1
Alfa Romeo Stelvio,Golden Retriever,2
Alfa Romeo Stelvio,Pitbull,1
Alfa Romeo Stelvio,Bloodhound,1
Lexus GS,Welsh Corgi,1
Lexus GS,Rescue Dog,1
Lexus GS,Newfoundland,1
Hyundai Veloster,Siberian Husky,1
Kia Forte,Golden Retriever,1
Kia Forte,Pitbull,6
Kia Forte,Pointer,1
Kia Forte,Italian Greyhound,5
Kia Forte,Welsh Corgi,2
Kia Forte,Beagle,1
Kia Forte,Siberian Husky,9
Kia Forte,Border Collie,3
Kia Forte,Labrador Retriever,4
Kia Forte,Chihuahua,6
Kia Forte,Bernese Mountain Dog,1
Kia Forte,Jack Russell Terrier,9
Kia Forte,Rescue Dog,1
Kia Forte,Cocker Spaniel,2
Kia Forte,Pug,4
Kia Forte,Giant Schnauzer,5
Kia Forte,Mutt,1
Kia Forte,Dachshund,1
Kia Forte,American Bulldog,1
Kia Forte,Chow Chow,1
Kia Forte,Great Dane,1
Kia Forte,Shih Tzu,1
Kia Forte,Akita,1
Maserati Ghibli,Rottweiler,1
Maserati Ghibli,Chihuahua,4
Maserati Ghibli,English Springer Spaniel,2
Maserati Ghibli,Great Dane,1
Maserati Ghibli,Rescue Dog,1
Maserati Ghibli,Italian Greyhound,1
Maserati Ghibli,Dachshund,1
Maserati Ghibli,Pug,1
Nissan Rogue,Pug,1
Nissan Rogue,Chihuahua,1
Nissan Murano,Labrador Retriever,3
Nissan Murano,Dachshund,8
Nissan Murano,Dalmatian,1
Nissan Murano,Pug,2
Nissan Murano,Pointer,3
Nissan Murano,Rhodesian Ridgeback,2
Nissan Murano,Basset Hound,1
Nissan Murano,Pitbull,4
Nissan Murano,Chihuahua,2
Nissan Murano,Mutt,1
Nissan Murano,Siberian Husky,6
Nissan Murano,Jack Russell Terrier,5
Nissan Murano,American Bulldog,7
Nissan Murano,Poodle,1
Nissan Murano,Shih Tzu,1
Nissan Murano,Chinese Shar-Pei,1
Nissan Murano,Welsh Corgi,1
Nissan Murano,Cocker Spaniel,3
Nissan Murano,Newfoundland,4
Nissan Murano,Giant Schnauzer,2
Nissan Murano,Golden Retriever,5
Nissan Murano,German Shepherd Dog,5
Nissan Murano,Rescue Dog,1
Nissan Murano,Maltese,2
Cadillac Escalade,Welsh Corgi,2
Cadillac Escalade,Golden Retriever,1
Cadillac Escalade,German Shepherd Dog,1
Jeep Wrangler,German Shepherd Dog,4
Jeep Wrangler,Goldendoodle,1
Jeep Wrangler,Siberian Husky,22
Jeep Wrangler,Giant Schnauzer,4
Jeep Wrangler,Pug,19
Jeep Wrangler,Mutt,1
Jeep Wrangler,Rescue Dog,10
Jeep Wrangler,Dachshund,6
Jeep Wrangler,Chihuahua,9
Jeep Wrangler,Great Dane,1
Jeep Wrangler,Maltese,2
Jeep Wrangler,Labrador Retriever,5
Jeep Wrangler,Pomeranian,6
Jeep Wrangler,Newfoundland,2
Jeep Wrangler,Pekingese,3
Jeep Wrangler,Welsh Corgi,7
Jeep Wrangler,Golden Retriever,4
Jeep Wrangler,Alaskan Malamute,1
Jeep Wrangler,Border Collie,5
Jeep Wrangler,Lhasa Apso,1
Jeep Wrangler,Jack Russell Terrier,3
Jeep Wrangler,Pitbull,4
Jeep Wrangler,Pointer,1
Jeep Wrangler,Weimaraner,1
Jeep Wrangler,American Bulldog,4
Jeep Wrangler,Rottweiler,3
Jeep Wrangler,Samoyed,1
Jeep Wrangler,Poodle,3
Jeep Wrangler,Bullmastiff,3
Jeep Wrangler,Bichon Frise,2
Jeep Wrangler,Akita,1
Jeep Wrangler,Italian Greyhound,4
Jeep Wrangler,Whippet,1
Jeep Wrangler,Boston Terrier,1
Jeep Wrangler,Shih Tzu,3
Jeep Wrangler,Beagle,4
Jeep Wrangler,Australian Shepherd,1
Jeep Wrangler,Labradoodle,1
Chrysler Pacifica,German Shepherd Dog,2
Chrysler Pacifica,Dalmatian,1
